"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,5,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0,0.022,0.022,-0.458,0.007,0.007,-0.458,0.008,0.008,-0.458,0.007,0.007,0.995,1,0.995,0.994,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.019,0.018,0.018,-0.428,0.008,0.008,-0.427,0.008,0.008,-0.429,0.008,0.008,1,0.774,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.019,0.011,0.011,-0.434,0.004,0.004,-0.436,0.004,0.004,-0.434,0.004,0.004,1,0.785,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.005,0.011,0.011,-0.419,0.007,0.007,-0.418,0.007,0.007,-0.419,0.007,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.002,0.006,0.006,-0.42,0.002,0.002,-0.421,0.002,0.002,-0.421,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.119,0.047,0.047,0.023,0.032,0.032,0.026,0.032,0.032,0.029,0.032,0.032,0.997,0.971,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.091,0.014,0.014,-0.007,0.003,0.003,-0.005,0.002,0.002,-0.001,0.002,0.002,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.1,0.023,0.023,0.008,0.015,0.015,0.016,0.015,0.015,0.022,0.015,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.096,0.018,0.018,0.005,0.012,0.012,0.014,0.012,0.012,0.018,0.012,0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.068,0.008,0.008,-0.007,0.004,0.004,0.009,0.004,0.004,0.014,0.004,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,1.5,0,0,1,FALSE,0.057,-0.005,-0.005,-0.018,-0.007,-0.007,-0.003,-0.007,-0.007,0.002,-0.007,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.067,0.064,0.064,-0.999,0.032,0.032,-0.998,0.033,0.033,-1,0.033,0.033,0.992,0.992,0.992,0.989,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.076,0.04,0.04,-1.002,0.019,0.019,-1.002,0.019,0.019,-1.002,0.019,0.019,0.989,1,0.992,0.99,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.014,0.033,0.032,-0.994,0.02,0.02,-0.993,0.02,0.02,-0.994,0.02,0.02,0.996,0.978,0.993,0.992,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.028,0.015,0.015,-0.997,0.006,0.006,-0.998,0.006,0.006,-0.997,0.006,0.006,0.999,0.997,0.998,0.999,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.038,0.012,0.012,-1,0.005,0.005,96211224224942.7,0.005,0.005,-1,0.005,0.005,1,0.742,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.026,0.007,0.007,-1.001,0.002,0.002,62130433075871.3,0.002,0.002,-1.001,0.002,0.002,1,0.846,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.006,-0.006,-0.006,-0.007,-0.007,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.036,0.034,0.034,-0.05,0.017,0.017,-0.05,0.018,0.018,-0.05,0.018,0.018,0.989,0.929,0.992,0.991,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.022,0.012,0.012,-0.064,0,0,-0.065,0,0,-0.064,0,0,0.997,0.921,0.999,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.033,0.024,0.024,-0.047,0.015,0.015,-0.044,0.015,0.015,-0.043,0.015,0.015,1,0.993,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.025,0.011,0.011,-0.056,0.004,0.004,-0.053,0.004,0.004,-0.052,0.004,0.004,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.024,0.013,0.013,-0.053,0.008,0.008,-0.048,0.008,0.008,-0.046,0.008,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.015,0.003,0.003,-0.062,-0.001,-0.001,-0.056,-0.001,-0.001,-0.055,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.002,0.032,0.031,-0.711,-0.017,-0.017,-0.708,-0.017,-0.017,-0.711,-0.017,-0.017,0.969,0.999,0.981,0.98,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.006,0.016,0.016,-0.712,-0.028,-0.028,-0.711,-0.028,-0.028,-0.712,-0.028,-0.028,0.95,1,0.98,0.975,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.006,0.014,0.014,-0.699,-0.009,-0.009,-0.698,-0.008,-0.008,-0.699,-0.009,-0.009,0.941,1,0.987,0.988,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.001,0.002,0.002,-0.704,-0.021,-0.021,-0.704,-0.021,-0.021,-0.704,-0.021,-0.021,0.905,1,0.996,0.997,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.006,0.003,0.003,-0.696,-0.01,-0.01,-0.696,-0.01,-0.01,-0.696,-0.01,-0.01,0.975,0.962,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.005,0,0,-0.701,-0.012,-0.012,-0.701,-0.012,-0.012,-0.701,-0.012,-0.012,0.993,0.986,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,-0.001,0.001,0.001,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
