"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,0.999,1,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,3,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,3,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,3,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,3,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,3,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,3,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,3,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,3,1.5,0,0,1,FALSE,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,3,1.5,0,0,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
