"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.002,-0.002,0.004,-0.002,0.006,-0.002,-0.002,0.004,-0.002,0.006,-0.002,-0.002,0.004,-0.002,0.006,-0.002,-0.002,0.004,-0.002,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.004,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,0,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.001,-0.002,0.001,-0.002,-0.002,-0.001,-0.002,0.001,-0.002,-0.002,-0.001,-0.002,0.001,-0.002,-0.002,-0.001,-0.002,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.001,0.001,0,0.001,0,0.001,0.001,0,0.001,0,0,0.001,0,0.001,0,0.001,0.001,0,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.002,0.002,-0.001,0.002,-0.003,0.002,0.002,-0.001,0.002,-0.003,0.002,0.002,-0.001,0.002,-0.003,0.002,0.002,-0.001,0.002,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.002,-0.002,0.001,-0.002,0.003,-0.002,-0.002,0.001,-0.002,0.003,-0.003,-0.002,0.001,-0.002,0.003,-0.002,-0.002,0.001,-0.002,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,0,-0.001,0.001,-0.001,-0.001,0,-0.001,0.001,-0.001,-0.001,0,-0.001,0.001,-0.001,-0.001,0,-0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,0,0,-0.001,0,-0.001,0,0,-0.001,0,-0.001,0,0,-0.001,0,-0.001,0,0,-0.001,0,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,-0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,0,-0.001,0,-0.001,-0.001,0,-0.001,0,0,-0.001,0,-0.001,0,-0.001,-0.001,0,-0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,0,-0.001,0.001,-0.001,-0.001,0,-0.001,0.001,-0.001,-0.001,0,-0.001,0.001,-0.001,-0.001,0,-0.001,0.001,0.999,1,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.001,-0.001,-0.17,-0.001,-0.169,-0.001,-0.001,-0.17,-0.001,-0.169,-0.001,-0.001,-0.17,-0.001,-0.169,-0.001,-0.001,-0.17,-0.001,-0.169,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.001,-0.001,-0.168,-0.001,-0.166,-0.001,-0.001,-0.168,-0.001,-0.166,-0.002,-0.002,-0.167,-0.002,-0.166,-0.001,-0.001,-0.168,-0.001,-0.166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.001,-0.001,-0.093,-0.001,-0.093,-0.001,-0.001,-0.093,-0.001,-0.093,-0.001,-0.001,-0.093,-0.001,-0.093,-0.001,-0.001,-0.093,-0.001,-0.093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.001,-0.001,-0.091,-0.001,-0.09,-0.001,-0.001,-0.091,-0.001,-0.09,-0.001,0,-0.091,0,-0.09,-0.001,-0.001,-0.091,-0.001,-0.09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.001,-0.001,-0.048,-0.001,-0.047,-0.001,-0.001,-0.048,-0.001,-0.047,-0.001,-0.001,-0.048,-0.001,-0.047,-0.001,-0.001,-0.048,-0.001,-0.047,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,0,0,-0.048,0,-0.048,0,0,-0.048,0,-0.048,0.001,0,-0.048,0,-0.048,0,0,-0.048,0,-0.048,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
