"N_total","T_total","predictor.type","outcome.type","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.independence2_g.10_bias","g.ar12_g.10_bias","g.independence3_g.10_bias","g.ar13_g.10_bias","g.independence4_g.10_bias","g.ar14_g.10_bias"
200,20,"continuous","continuous",0,1.5,0,0,1,TRUE,0,0,0,0.006,0.001,0,0,0,0
100,5,"binary","binary",0,1.5,0,0,1,TRUE,-0.003,0.003,0.003,-0.071,-0.069,-0.013,-0.012,-0.013,-0.012
200,5,"binary","binary",0,1.5,0,0,1,TRUE,0.016,0.011,0.011,-0.047,-0.051,0,0,0,0
100,20,"binary","binary",0,1.5,0,0,1,TRUE,0.022,0.018,0.018,-0.039,-0.041,0.014,0.014,0.014,0.014
200,20,"binary","binary",0,1.5,0,0,1,TRUE,0.013,0.003,0.003,-0.051,-0.052,-0.001,-0.001,-0.001,-0.001
100,5,"continuous","binary",0,1.5,0,0,1,TRUE,0.011,0.055,0.055,-0.695,-0.695,0.029,0.029,0.029,0.029
200,5,"continuous","binary",0,1.5,0,0,1,TRUE,-0.009,0.022,0.022,-0.691,-0.684,0.008,0.008,0.008,0.008
100,20,"continuous","binary",0,1.5,0,0,1,TRUE,0.001,0.009,0.009,-0.69,-0.69,0.004,0.004,0.004,0.004
200,20,"continuous","binary",0,1.5,0,0,1,TRUE,-0.006,0.002,0.002,-0.7,-0.693,-0.001,-0.001,-0.001,-0.001
100,5,"binary","continuous",0,1.5,0,0,1,TRUE,0.013,0.011,0.011,0.011,0.013,0.012,0.011,0.012,0.011
200,5,"binary","continuous",0,1.5,0,0,1,TRUE,-0.013,-0.011,-0.011,-0.012,-0.016,-0.011,-0.011,-0.011,-0.011
100,20,"binary","continuous",0,1.5,0,0,1,TRUE,0.001,0.001,0.001,0.001,0.004,0,0,0,0
200,20,"binary","continuous",0,1.5,0,0,1,TRUE,0,0,0,-0.002,-0.001,0,0.001,0,0.001
100,5,"continuous","continuous",0,1.5,0,0,1,TRUE,0.003,-0.001,-0.001,-0.008,0.001,-0.001,-0.002,-0.001,-0.002
200,5,"continuous","continuous",0,1.5,0,0,1,TRUE,-0.002,-0.001,-0.001,0.006,-0.005,-0.001,-0.002,-0.001,-0.002
100,20,"continuous","continuous",0,1.5,0,0,1,TRUE,0.003,0.002,0.002,-0.001,0.002,0.002,0.002,0.002,0.002
200,20,"continuous","continuous",0,1.5,0,0,1,TRUE,-0.001,-0.002,-0.002,0.006,0,-0.001,-0.002,-0.001,-0.002
100,5,"binary","binary",0,1.5,0,0,1,TRUE,0.094,0.04,0.04,-0.102,-0.112,0.026,0.021,0.026,0.021
200,5,"binary","binary",0,1.5,0,0,1,TRUE,0.058,-0.003,-0.003,-0.135,-0.141,-0.013,-0.013,-0.013,-0.013
100,20,"binary","binary",0,1.5,0,0,1,TRUE,0.053,0.012,0.012,-0.119,-0.126,0.008,0.009,0.008,0.009
200,20,"binary","binary",0,1.5,0,0,1,TRUE,0.039,-0.004,-0.004,-0.137,-0.138,-0.007,-0.007,-0.007,-0.007
100,5,"continuous","binary",0,1.5,0,0,1,TRUE,-0.108,0.159,0.159,-1.175,-1.172,0.112,0.113,0.112,0.113
200,5,"continuous","binary",0,1.5,0,0,1,TRUE,-0.213,0.063,0.063,-1.193,-1.185,0.037,0.037,0.037,0.037
100,20,"continuous","binary",0,1.5,0,0,1,TRUE,-0.034,0.027,0.027,-1.183,58029031118898.9,0.021,0.02,0.021,0.02
200,20,"continuous","binary",0,1.5,0,0,1,TRUE,-0.048,0.012,0.012,-1.187,29815851734895.5,0.006,0.006,0.006,0.006
100,5,"binary","continuous",0,1.5,0,0,1,TRUE,0.003,-0.002,-0.002,0.008,-0.005,-0.001,-0.002,-0.001,-0.002
200,5,"binary","continuous",0,1.5,0,0,1,TRUE,0.002,-0.006,-0.006,0,0.014,-0.006,-0.006,-0.006,-0.006
100,20,"binary","continuous",0,1.5,0,0,1,TRUE,0.003,0.004,0.004,0.007,0.002,0.004,0.004,0.004,0.004
200,20,"binary","continuous",0,1.5,0,0,1,TRUE,0.007,0.004,0.004,0.006,0.007,0.004,0.004,0.004,0.004
100,5,"continuous","continuous",0,1.5,0,0,1,TRUE,-0.004,-0.003,-0.003,0.011,-0.005,-0.003,-0.004,-0.003,-0.004
200,5,"continuous","continuous",0,1.5,0,0,1,TRUE,0.003,0.003,0.003,0,0.001,0.003,0.004,0.003,0.004
100,20,"continuous","continuous",0,1.5,0,0,1,TRUE,0,0,0,0.01,-0.001,0,0,0,0
200,20,"continuous","continuous",0,1.5,0,0,1,TRUE,-0.002,-0.001,-0.001,0.026,-0.002,-0.001,-0.001,-0.001,-0.001
100,5,"binary","binary",0,1.5,1,0,1,TRUE,-0.003,-0.003,-0.003,-0.232,-0.226,NA,NA,NA,NA
200,5,"binary","binary",0,1.5,1,0,1,TRUE,0.015,0.015,0.015,-0.219,-0.219,NA,NA,NA,NA
100,20,"binary","binary",0,1.5,1,0,1,TRUE,0.005,0.005,0.005,-0.242,-0.24,NA,NA,NA,NA
200,20,"binary","binary",0,1.5,1,0,1,TRUE,-0.002,-0.002,-0.002,-0.245,-0.246,NA,NA,NA,NA
100,5,"continuous","binary",0,1.5,1,0,1,TRUE,0.015,0.015,0.015,-0.22,-0.22,NA,NA,NA,NA
200,5,"continuous","binary",0,1.5,1,0,1,TRUE,-0.03,-0.03,-0.03,-0.233,-0.234,NA,NA,NA,NA
100,20,"continuous","binary",0,1.5,1,0,1,TRUE,0.007,0.007,0.007,-0.22,-0.221,NA,NA,NA,NA
200,20,"continuous","binary",0,1.5,1,0,1,TRUE,-0.009,-0.009,-0.009,-0.235,-0.235,NA,NA,NA,NA
100,5,"binary","continuous",0,1.5,1,0,1,TRUE,-0.001,-0.001,-0.001,0.008,0.007,NA,NA,NA,NA
