"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias"
100,5,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.022,-0.021,-0.009,-0.021,0.013,-0.551,-0.225,-0.221,-0.225,0.004,-0.55,-0.224,-0.219,-0.224,0.005,-0.551,-0.223,-0.214,-0.223,0.009
200,5,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.014,-0.021,-0.018,-0.021,0.003,-0.547,-0.231,-0.231,-0.231,0,-0.547,-0.231,-0.23,-0.231,0.002,-0.547,-0.231,-0.228,-0.231,0.003
100,20,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.012,0.011,-0.008,0.011,-0.02,-0.504,-0.207,-0.234,-0.207,-0.028,-0.51,-0.208,-0.227,-0.208,-0.019,-0.503,-0.205,-0.224,-0.205,-0.019
200,20,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.005,0.004,-0.015,0.004,-0.019,-0.509,-0.215,-0.242,-0.215,-0.027,-0.509,-0.213,-0.23,-0.213,-0.018,-0.509,-0.212,-0.227,-0.212,-0.015
100,5,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.016,0.016,0.03,0.016,0.014,0.016,0.016,0.03,0.016,0.014,0.01,0.01,0.033,0.01,0.023,0.016,0.016,0.03,0.016,0.014
200,5,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.008,0.008,0.004,0.008,-0.003,0.008,0.008,0.004,0.008,-0.003,0.012,0.012,0.004,0.012,-0.008,0.008,0.008,0.004,0.008,-0.003
100,20,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.006,-0.006,0.081,-0.006,0.087,-0.006,-0.006,0.081,-0.006,0.087,-0.003,-0.003,0.068,-0.003,0.071,-0.006,-0.006,0.081,-0.006,0.087
200,20,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.007,-0.007,0.019,-0.007,0.026,-0.007,-0.007,0.019,-0.007,0.026,-0.002,-0.002,0.016,-0.002,0.018,-0.007,-0.007,0.019,-0.007,0.026
100,5,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,0,0,0.01,0,0.009,0,0,0.01,0,0.009,0.005,0.003,0.012,0.003,0.008,0,0,0.01,0,0.009
200,5,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.01,-0.001,-0.01,-0.001,-0.001,-0.01,-0.001,-0.01,-0.004,-0.004,-0.011,-0.004,-0.007,-0.001,-0.001,-0.01,-0.001,-0.01
100,20,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.002,-0.002,0.019,-0.002,0.021,-0.002,-0.002,0.019,-0.002,0.021,-0.003,-0.003,0.024,-0.003,0.027,-0.002,-0.002,0.019,-0.002,0.021
200,20,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,0,0,-0.001,0,-0.001,0,0,-0.001,0,-0.001,0.001,0.001,0.001,0.001,-0.001,0,0,-0.001,0,-0.001
100,5,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.049,-0.01,-0.017,-0.01,-0.007,-0.238,-0.231,-0.245,-0.231,-0.014,-0.239,-0.232,-0.25,-0.232,-0.018,-0.23,-0.231,-0.245,-0.231,-0.014
200,5,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.006,-0.064,-0.031,-0.064,0.033,-0.286,-0.282,-0.252,-0.282,0.03,-0.282,-0.281,-0.253,-0.281,0.028,-0.278,-0.283,-0.253,-0.283,0.03
100,20,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.043,0.02,0.017,0.02,-0.003,-0.238,-0.227,-0.22,-0.227,0.008,-0.23,-0.225,-0.221,-0.225,0.004,-0.22,-0.23,-0.223,-0.23,0.007
200,20,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.034,0.013,-0.044,0.013,-0.057,-0.236,-0.228,-0.277,-0.228,-0.049,-0.226,-0.225,-0.278,-0.225,-0.053,-0.214,-0.227,-0.277,-0.227,-0.051
100,5,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.074,0.035,0.028,0.035,-0.007,-1.008,-0.167,-0.174,-0.167,-0.007,-1.011,-0.167,-0.173,-0.167,-0.005,-1.009,-0.164,-0.174,-0.164,-0.01
200,5,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.116,-0.016,0.011,-0.016,0.026,-1.022,-0.2,-0.179,-0.2,0.022,-1.021,-0.199,-0.177,-0.199,0.022,-1.022,-0.198,-0.176,-0.198,0.022
100,20,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.01,0.005,-0.002,0.005,-0.007,-1.001,-0.202,-0.211,-0.202,-0.008,49718767643933.5,-0.199,-0.202,-0.199,-0.003,-1.001,-0.197,-0.2,-0.197,-0.003
200,20,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.017,0.001,0.009,0.001,0.008,-1.007,-0.199,-0.199,-0.199,0,105943917119981,-0.194,-0.191,-0.194,0.003,-1.007,-0.193,-0.189,-0.193,0.004
100,5,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.008,0.008,-0.019,0.008,-0.027,0.008,0.008,-0.019,0.008,-0.027,0.007,0.008,-0.018,0.008,-0.025,0.008,0.008,-0.019,0.008,-0.027
200,5,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.003,0.003,-0.001,0.003,-0.005,0.003,0.003,-0.001,0.003,-0.005,0.01,0.01,-0.005,0.01,-0.015,0.003,0.003,-0.001,0.003,-0.005
100,20,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.002,-0.002,0.013,-0.002,0.015,-0.002,-0.002,0.013,-0.002,0.015,-0.002,-0.002,0.018,-0.002,0.019,-0.002,-0.002,0.013,-0.002,0.015
200,20,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.008,0.008,0,0.008,-0.008,0.008,0.008,0,0.008,-0.008,0.01,0.01,0.015,0.01,0.005,0.008,0.008,0,0.008,-0.008
100,5,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,0,0,0.002,0,0.002,0,0,0.002,0,0.002,0.001,0.001,0.002,0.001,0.001,0,0,0.002,0,0.002
200,5,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.005,0.005,-0.002,0.005,-0.006,0.005,0.005,-0.002,0.005,-0.006,0.003,0.004,-0.003,0.004,-0.007,0.005,0.005,-0.002,0.005,-0.006
100,20,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.003,0.003,0.003,0.003,-0.001,0.003,0.003,0.003,0.003,-0.001,0.004,0.004,0.004,0.004,-0.001,0.003,0.003,0.003,0.003,-0.001
200,20,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,0,0,-0.003,0,-0.003,0,0,-0.003,0,-0.003,-0.001,-0.001,-0.002,-0.001,-0.001,0,0,-0.003,0,-0.003
100,5,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.025,-0.006,-0.544,-0.006,-0.538,-0.253,-0.222,-0.834,-0.222,-0.612,-0.267,-0.233,-0.836,-0.233,-0.603,-0.248,-0.22,-0.837,-0.22,-0.617
200,5,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.041,0.011,-0.517,0.011,-0.528,-0.236,-0.201,-0.803,-0.201,-0.602,-0.223,-0.191,-0.803,-0.191,-0.612,-0.233,-0.201,-0.804,-0.201,-0.603
100,20,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.001,-0.007,-0.257,-0.007,-0.25,-0.264,-0.23,-0.599,-0.23,-0.368,-0.255,-0.227,-0.593,-0.227,-0.366,-0.252,-0.23,-0.595,-0.23,-0.365
200,20,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,0.005,-0.003,-0.217,-0.003,-0.214,-0.258,-0.222,-0.551,-0.222,-0.329,-0.255,-0.224,-0.555,-0.224,-0.331,-0.248,-0.222,-0.555,-0.222,-0.332
100,5,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,0.023,0.043,-0.124,0.043,-0.167,-0.738,-0.199,-0.502,-0.199,-0.303,-0.737,-0.2,-0.5,-0.2,-0.3,-0.739,-0.197,-0.498,-0.197,-0.3
200,5,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.003,0.014,-0.131,0.014,-0.144,-0.754,-0.221,-0.503,-0.221,-0.282,-0.755,-0.222,-0.5,-0.222,-0.278,-0.754,-0.221,-0.496,-0.221,-0.275
100,20,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.009,-0.007,-0.031,-0.007,-0.024,-0.747,-0.226,-0.411,-0.226,-0.185,-0.745,-0.221,-0.389,-0.221,-0.168,-0.747,-0.22,-0.383,-0.22,-0.163
200,20,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.003,-0.001,-0.056,-0.001,-0.054,-0.737,-0.217,-0.421,-0.217,-0.204,-0.735,-0.213,-0.403,-0.213,-0.19,-0.737,-0.213,-0.4,-0.213,-0.187
100,5,"binary","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.001,-0.001,-0.469,-0.001,-0.468,-0.001,-0.001,-0.469,-0.001,-0.468,0.007,0.006,-0.486,0.006,-0.492,-0.001,-0.001,-0.469,-0.001,-0.468
200,5,"binary","continuous",1,1,0,1,1.5,1,0,1,FALSE,0.001,0.001,-0.542,0.001,-0.543,0.001,0.001,-0.542,0.001,-0.543,-0.004,-0.004,-0.551,-0.004,-0.548,0.001,0.001,-0.542,0.001,-0.543
100,20,"binary","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.007,-0.007,-0.18,-0.007,-0.173,-0.007,-0.007,-0.18,-0.007,-0.173,-0.01,-0.01,-0.152,-0.01,-0.142,-0.007,-0.007,-0.18,-0.007,-0.173
200,20,"binary","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.001,-0.001,-0.202,-0.001,-0.202,-0.001,-0.001,-0.202,-0.001,-0.202,0.001,0.001,-0.217,0.001,-0.218,-0.001,-0.001,-0.202,-0.001,-0.202
100,5,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,0.004,0.004,-0.173,0.004,-0.177,0.004,0.004,-0.173,0.004,-0.177,0.004,0.004,-0.171,0.004,-0.175,0.004,0.004,-0.173,0.004,-0.177
200,5,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,0.004,0.004,-0.164,0.004,-0.167,0.004,0.004,-0.164,0.004,-0.167,0.003,0.004,-0.161,0.004,-0.165,0.004,0.004,-0.164,0.004,-0.167
100,20,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,0.003,0.003,-0.04,0.003,-0.043,0.003,0.003,-0.04,0.003,-0.043,0.003,0.003,-0.04,0.003,-0.043,0.003,0.003,-0.04,0.003,-0.043
200,20,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.003,-0.003,-0.05,-0.003,-0.047,-0.003,-0.003,-0.05,-0.003,-0.047,-0.003,-0.003,-0.054,-0.003,-0.052,-0.003,-0.003,-0.05,-0.003,-0.047
100,5,"binary","binary",1,3,0,1,1.5,1,0,1,FALSE,0.089,0.004,-0.128,0.004,-0.131,-0.282,-0.212,-0.466,-0.212,-0.255,-0.257,-0.2,-0.463,-0.2,-0.264,-0.282,-0.21,-0.467,-0.21,-0.256
200,5,"binary","binary",1,3,0,1,1.5,1,0,1,FALSE,0.076,-0.006,-0.183,-0.006,-0.177,-0.286,-0.221,-0.519,-0.221,-0.299,-0.298,-0.226,-0.517,-0.226,-0.291,-0.286,-0.221,-0.519,-0.221,-0.298
100,20,"binary","binary",1,3,0,1,1.5,1,0,1,FALSE,0.02,-0.009,-0.067,-0.009,-0.058,-0.304,-0.227,-0.43,-0.227,-0.203,-0.298,-0.224,-0.424,-0.224,-0.2,-0.288,-0.224,-0.421,-0.224,-0.198
200,20,"binary","binary",1,3,0,1,1.5,1,0,1,FALSE,0.04,0.011,-0.067,0.011,-0.079,-0.286,-0.209,-0.431,-0.209,-0.222,-0.283,-0.207,-0.428,-0.207,-0.221,-0.268,-0.205,-0.428,-0.205,-0.223
100,5,"continuous","binary",1,3,0,1,1.5,1,0,1,FALSE,-0.196,0.033,0.094,0.033,0.062,-1.198,-0.214,-0.325,-0.214,-0.11,-1.201,2787747732703.18,4699353095087.35,2787747732700.58,1911605362382.57,-1.198,-0.212,-0.328,-0.212,-0.116
200,5,"continuous","binary",1,3,0,1,1.5,1,0,1,FALSE,-0.205,0.061,0.073,0.061,0.012,-1.194,-0.185,-0.337,-0.185,-0.152,-1.191,-0.183,-0.337,-0.183,-0.154,-1.193,-0.182,-0.334,-0.182,-0.152
100,20,"continuous","binary",1,3,0,1,1.5,1,0,1,FALSE,-0.026,0.022,0.029,0.022,0.007,-1.184,-0.173,-0.294,-0.173,-0.121,71963405109807.5,-0.168,-0.282,-0.168,-0.114,-1.184,-0.167,-0.279,-0.167,-0.112
200,20,"continuous","binary",1,3,0,1,1.5,1,0,1,FALSE,-0.028,0.025,0.024,0.025,-0.001,-1.192,-0.184,-0.323,-0.184,-0.139,-766896764920.167,-0.18,-0.31,-0.18,-0.129,-1.192,-0.179,-0.307,-0.179,-0.128
100,5,"binary","continuous",1,3,0,1,1.5,1,0,1,FALSE,0.034,0.034,-0.118,0.034,-0.153,0.034,0.034,-0.118,0.034,-0.153,0.038,0.038,-0.123,0.038,-0.161,0.034,0.034,-0.118,0.034,-0.153
200,5,"binary","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.019,-0.019,-0.115,-0.019,-0.096,-0.019,-0.019,-0.115,-0.019,-0.096,-0.024,-0.024,-0.109,-0.024,-0.085,-0.019,-0.019,-0.115,-0.019,-0.096
100,20,"binary","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.001,-0.001,-0.019,-0.001,-0.019,-0.001,-0.001,-0.019,-0.001,-0.019,-0.001,-0.001,-0.018,-0.001,-0.017,-0.001,-0.001,-0.019,-0.001,-0.019
200,20,"binary","continuous",1,3,0,1,1.5,1,0,1,FALSE,0.002,0.002,-0.001,0.002,-0.003,0.002,0.002,-0.001,0.002,-0.003,-0.001,-0.001,0.001,-0.001,0.002,0.002,0.002,-0.001,0.002,-0.003
100,5,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,0,0,-0.019,0,-0.019,0,0,-0.019,0,-0.019,0.002,0.001,-0.019,0.001,-0.021,0,0,-0.019,0,-0.019
200,5,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,0.001,0.001,-0.019,0.001,-0.02,0.001,0.001,-0.019,0.001,-0.02,0.004,0.004,-0.02,0.004,-0.024,0.001,0.001,-0.019,0.001,-0.02
100,20,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,0.001,0.001,-0.009,0.001,-0.01,0.001,0.001,-0.009,0.001,-0.01,-0.001,-0.001,-0.011,-0.001,-0.01,0.001,0.001,-0.009,0.001,-0.01
200,20,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.002,-0.002,-0.001,-0.002,0.002,-0.002,-0.002,-0.001,-0.002,0.002,-0.002,-0.002,0,-0.002,0.002,-0.002,-0.002,-0.001,-0.002,0.002
