"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias"
100,5,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.088,0.05,0.05,-1.005,0.022,0.022,-0.993,0.021,0.021,-1.006,0.022,0.022
200,5,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.095,0.019,0.019,-1.005,0.002,0.002,-1.004,0.003,0.003,-1.005,0.002,0.002
100,20,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.025,0,0,-0.992,-0.004,-0.004,160184617370718,-0.004,-0.004,-0.992,-0.004,-0.004
200,20,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.017,0.004,0.004,-1.004,-0.001,-0.001,43927894054346.8,-0.001,-0.001,-1.004,-0.001,-0.001
100,5,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.007,-0.01,-0.01,-0.011,-0.011,-0.011
200,5,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.009,0.009,0.009,0.009,0.009,0.009,0.001,0.009,0.009,0.009,0.009,0.009
100,20,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.006
200,20,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.009,0.009,0.009,0.009,0.009,0.009,0.007,0.009,0.009,0.009,0.009,0.009
100,5,"continuous","continuous",1,3,0,1.5,0,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003
200,5,"continuous","continuous",1,3,0,1.5,0,0,1,FALSE,0.002,0.002,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002
100,20,"continuous","continuous",1,3,0,1.5,0,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001
200,20,"continuous","continuous",1,3,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0.001,0,0,0,0,0
100,5,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0,-0.007,-0.007,-0.09,-0.025,-0.025,-0.085,-0.025,-0.025,-0.089,-0.025,-0.025
200,5,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.014,-0.002,-0.002,-0.076,-0.015,-0.015,-0.078,-0.017,-0.017,-0.075,-0.016,-0.016
100,20,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.022,0.011,0.011,-0.054,0.006,0.006,-0.047,0.007,0.007,-0.046,0.007,0.007
200,20,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.013,0,0,-0.064,-0.005,-0.005,-0.058,-0.005,-0.005,-0.057,-0.005,-0.005
100,5,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.01,0.04,0.04,-0.715,-0.016,-0.016,-0.716,-0.014,-0.014,-0.716,-0.015,-0.015
