"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias"
100,20,"continuous","continuous",1,3,0,0,0,0,1,FALSE,0,-0.001,0,-0.001,0,-0.001,0,-0.001
200,20,"continuous","continuous",1,3,0,0,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
100,5,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.394,-0.387,-0.419,-0.394,-0.42,-0.395,-0.42,-0.395
200,5,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.467,-0.466,-0.487,-0.471,-0.487,-0.47,-0.486,-0.471
100,20,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.165,-0.176,-0.173,-0.18,-0.173,-0.179,-0.173,-0.179
200,20,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.181,-0.181,-0.189,-0.184,-0.189,-0.184,-0.189,-0.184
100,5,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.086,-0.125,-0.173,-0.157,-0.172,-0.158,-0.173,-0.159
200,5,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.167,-0.182,-0.235,-0.208,-0.234,-0.207,-0.235,-0.207
100,20,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.028,-0.033,-0.05,-0.042,-0.049,-0.041,-0.049,-0.041
200,20,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.044,-0.041,-0.062,-0.049,-0.062,-0.048,-0.062,-0.048
100,5,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.496,-0.512,-0.496,-0.512,-0.496,-0.512,-0.496,-0.512
200,5,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.495,-0.48,-0.495,-0.48,-0.495,-0.479,-0.495,-0.48
100,20,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.215,-0.216,-0.215,-0.216,-0.215,-0.216,-0.215,-0.216
200,20,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
100,5,"continuous","continuous",1,1,0,1,0,0,1,FALSE,-0.165,-0.168,-0.165,-0.168,-0.165,-0.168,-0.165,-0.168
200,5,"continuous","continuous",1,1,0,1,0,0,1,FALSE,-0.173,-0.17,-0.173,-0.17,-0.173,-0.169,-0.173,-0.17
100,20,"continuous","continuous",1,1,0,1,0,0,1,FALSE,-0.043,-0.047,-0.043,-0.047,-0.043,-0.047,-0.043,-0.047
200,20,"continuous","continuous",1,1,0,1,0,0,1,FALSE,-0.051,-0.05,-0.051,-0.05,-0.051,-0.05,-0.051,-0.05
100,5,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.124,-0.166,-0.148,-0.174,-0.148,-0.171,-0.149,-0.175
200,5,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.113,-0.119,-0.137,-0.131,-0.137,-0.132,-0.137,-0.131
100,20,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.069,-0.078,-0.077,-0.081,-0.076,-0.081,-0.076,-0.081
200,20,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.047,-0.041,-0.054,-0.045,-0.054,-0.045,-0.054,-0.045
100,5,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.158,0.005,0.031,-0.042,0.029,-0.04,0.024,-0.043
200,5,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.038,-0.003,-0.045,-0.034,-0.044,-0.034,-0.044,-0.033
100,20,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.014,-0.011,-0.009,-0.02,-0.008,-0.019,-0.008,-0.019
200,20,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.022,0.015,-0.002,0.005,-0.002,0.004,-0.002,0.004
100,5,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.109,-0.11,-0.109,-0.11,-0.11,-0.11,-0.109,-0.11
200,5,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.141,-0.144,-0.141,-0.144,-0.141,-0.144,-0.141,-0.144
100,20,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.046,-0.048,-0.046,-0.048,-0.046,-0.048,-0.046,-0.048
200,20,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.053,-0.06,-0.053,-0.06,-0.053,-0.06,-0.053,-0.06
100,5,"continuous","continuous",1,3,0,1,0,0,1,FALSE,-0.025,-0.021,-0.025,-0.021,-0.024,-0.02,-0.025,-0.021
200,5,"continuous","continuous",1,3,0,1,0,0,1,FALSE,-0.021,-0.023,-0.021,-0.023,-0.021,-0.023,-0.021,-0.023
100,20,"continuous","continuous",1,3,0,1,0,0,1,FALSE,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006
200,20,"continuous","continuous",1,3,0,1,0,0,1,FALSE,-0.008,-0.006,-0.008,-0.006,-0.008,-0.006,-0.008,-0.006
100,5,"binary","binary",1,0,0,0,1,0,1,FALSE,-0.085,-0.092,-0.295,-0.081,-0.295,-0.083,-0.296,-0.082
200,5,"binary","binary",1,0,0,0,1,0,1,FALSE,0.05,0.037,-0.19,0.031,-0.189,0.03,-0.192,0.03
