"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias"
200,20,"binary","continuous",NA,1,0,1,1.5,1,0,1,FALSE,0.003,0.003,-0.211,0.003,-0.214,0.003,0.003,-0.211,0.003,-0.214,0.005,0.005,-0.221,0.005,-0.226,0.003,0.003,-0.211,0.003,-0.214
200,20,"binary","continuous",NA,0,0,-1,3,0,0,1,FALSE,-0.002,-0.002,0.97,-0.002,0.973,-0.002,-0.002,0.97,-0.002,0.973,-0.002,-0.002,0.97,-0.002,0.973,-0.002,-0.002,0.97,-0.002,0.973
200,20,"binary","continuous",NA,1,0,-1,3,0,0,1,FALSE,0,0,0.211,0,0.211,0,0,0.211,0,0.211,0,0,0.211,0,0.211,0,0,0.211,0,0.211
200,20,"binary","continuous",NA,0,0,0,3,0,0,1,FALSE,0.003,0.003,-0.001,0.003,-0.003,0.003,0.003,-0.001,0.003,-0.003,0.001,0.003,-0.001,0.003,-0.003,0.003,0.003,-0.001,0.003,-0.003
200,20,"binary","continuous",NA,1,0,0,3,0,0,1,FALSE,-0.004,-0.004,-0.003,-0.004,0.001,-0.004,-0.004,-0.003,-0.004,0.001,-0.007,-0.004,-0.003,-0.004,0.001,-0.004,-0.004,-0.003,-0.004,0.001
200,20,"binary","continuous",NA,0,0,1,3,0,0,1,FALSE,-0.001,-0.001,-0.98,-0.001,-0.979,-0.001,-0.001,-0.98,-0.001,-0.979,-0.001,-0.001,-0.98,-0.001,-0.979,-0.001,-0.001,-0.98,-0.001,-0.979
200,20,"binary","continuous",NA,1,0,1,3,0,0,1,FALSE,0.006,0.006,-0.197,0.006,-0.203,0.006,0.006,-0.197,0.006,-0.203,0.001,0.006,-0.196,0.006,-0.202,0.006,0.006,-0.197,0.006,-0.203
200,20,"binary","continuous",NA,0,0,-1,3,1,0,1,FALSE,0.002,0.002,1.071,0.002,1.069,0.002,0.002,1.071,0.002,1.069,0.005,0.005,1.055,0.005,1.05,0.002,0.002,1.071,0.002,1.069
200,20,"binary","continuous",NA,1,0,-1,3,1,0,1,FALSE,-0.002,-0.002,0.189,-0.002,0.191,-0.002,-0.002,0.189,-0.002,0.191,-0.002,-0.002,0.198,-0.002,0.199,-0.002,-0.002,0.189,-0.002,0.191
200,20,"binary","continuous",NA,0,0,0,3,1,0,1,FALSE,0.003,0.003,-0.123,0.003,-0.127,0.003,0.003,-0.123,0.003,-0.127,0.003,0.003,-0.144,0.003,-0.147,0.003,0.003,-0.123,0.003,-0.127
200,20,"binary","continuous",NA,1,0,0,3,1,0,1,FALSE,-0.003,-0.003,-0.031,-0.003,-0.028,-0.003,-0.003,-0.031,-0.003,-0.028,-0.003,-0.003,-0.019,-0.003,-0.015,-0.003,-0.003,-0.031,-0.003,-0.028
200,20,"binary","continuous",NA,0,0,1,3,1,0,1,FALSE,-0.001,-0.001,-1.049,-0.001,-1.048,-0.001,-0.001,-1.049,-0.001,-1.048,-0.004,-0.004,-1.047,-0.004,-1.043,-0.001,-0.001,-1.049,-0.001,-1.048
200,20,"binary","continuous",NA,1,0,1,3,1,0,1,FALSE,-0.002,-0.002,-0.228,-0.002,-0.226,-0.002,-0.002,-0.228,-0.002,-0.226,-0.004,-0.004,-0.214,-0.004,-0.209,-0.002,-0.002,-0.228,-0.002,-0.226
