"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l4_g.01_bias","l4_g.10_bias","l3a_g.01_bias","l3a_g.10_bias","l2_g.10_bias"
200,20,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,-0.041,-0.003,-0.044,-0.003,-0.006
100,5,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.512,0.016,-0.496,0.016,0.016
200,5,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.48,-0.015,-0.495,-0.015,-0.015
100,20,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.216,0.001,-0.215,0.001,0.001
200,20,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.2,0,-0.2,0,0
100,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.168,0.003,-0.165,0.003,0.003
200,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.17,-0.003,-0.173,-0.003,-0.003
100,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.047,0.003,-0.043,0.003,0.003
200,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.05,-0.001,-0.051,-0.001,-0.001
100,5,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.166,0.042,-0.124,0.042,0.107
200,5,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.119,0.006,-0.113,0.006,0.065
100,20,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.078,0.009,-0.069,0.009,0.054
200,20,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.041,-0.006,-0.047,-0.006,0.042
100,5,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,0.005,0.153,0.158,0.153,-0.116
200,5,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.003,0.04,0.038,0.04,-0.22
100,20,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.011,0.025,0.014,0.025,-0.035
200,20,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,0.015,0.006,0.022,0.006,-0.049
100,5,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.11,0.001,-0.109,0.001,0.001
200,5,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.144,0.003,-0.141,0.003,0.003
100,20,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.048,0.002,-0.046,0.002,0.002
200,20,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.06,0.007,-0.053,0.007,0.007
100,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.021,-0.004,-0.025,-0.004,-0.004
200,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.023,0.003,-0.021,0.003,0.003
100,20,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.006,0,-0.006,0,0
200,20,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.006,-0.002,-0.008,-0.002,-0.002
100,5,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.092,0.007,-0.085,0.007,0.027
200,5,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.037,0.012,0.05,0.013,0.034
100,20,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.208,0.007,-0.201,0.007,0.009
200,20,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.04,-0.001,-0.041,-0.001,0.001
100,5,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.007,0.015,0.008,0.015,0.019
200,5,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.012,-0.028,-0.04,-0.028,-0.027
100,20,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.069,0.008,-0.061,0.008,0.008
200,20,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.038,-0.01,0.028,-0.01,-0.009
100,5,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.053,-0.002,0.051,-0.002,-0.002
200,5,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.027,-0.004,0.024,-0.004,-0.004
100,20,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.084,-0.007,0.076,-0.007,-0.007
200,20,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.045,0.004,-0.041,0.004,0.004
100,5,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.017,-0.004,-0.022,-0.004,-0.004
200,5,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.009,0,0.009,0,0
100,20,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.082,-0.001,-0.082,-0.001,-0.001
200,20,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.005,0.001,0.006,0.001,0.001
100,5,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.166,-0.011,0.155,-0.011,0.029
200,5,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.065,0.015,-0.05,0.015,0.049
100,20,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.06,0.015,0.074,0.015,0.024
200,20,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.026,0.002,-0.024,0.002,0.011
100,5,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.013,-0.021,-0.009,-0.021,-0.022
200,5,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.003,-0.021,-0.018,-0.021,-0.014
100,20,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.02,0.011,-0.008,0.011,0.012
200,20,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.019,0.004,-0.015,0.004,0.005
100,5,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.014,0.016,0.03,0.016,0.016
200,5,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.003,0.008,0.004,0.008,0.008
100,20,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.087,-0.006,0.081,-0.006,-0.006
200,20,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.026,-0.007,0.019,-0.007,-0.007
100,5,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.009,0,0.01,0,0
200,5,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.01,-0.001,-0.01,-0.001,-0.001
100,20,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.021,-0.002,0.019,-0.002,-0.002
200,20,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.001,0,-0.001,0,0
100,5,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.007,-0.01,-0.017,-0.01,0.049
200,5,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.033,-0.064,-0.031,-0.064,-0.006
100,20,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.003,0.02,0.017,0.02,0.043
200,20,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.057,0.013,-0.044,0.013,0.034
100,5,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.007,0.035,0.028,0.035,-0.074
200,5,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,0.026,-0.016,0.011,-0.016,-0.116
100,20,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,-0.007,0.005,-0.002,0.005,-0.01
200,20,"continuous","binary",1,3,0,0,1.5,1,0,1,FALSE,0.008,0.001,0.009,0.001,-0.017
100,5,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.027,0.008,-0.019,0.008,0.008
200,5,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.005,0.003,-0.001,0.003,0.003
100,20,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.015,-0.002,0.013,-0.002,-0.002
200,20,"binary","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.008,0.008,0,0.008,0.008
100,5,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.002,0,0.002,0,0
200,5,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.006,0.005,-0.002,0.005,0.005
100,20,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.001,0.003,0.003,0.003,0.003
200,20,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.003,0,-0.003,0,0
100,5,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.538,-0.006,-0.544,-0.006,0.025
200,5,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.528,0.011,-0.517,0.011,0.041
100,20,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.25,-0.007,-0.257,-0.007,0.001
200,20,"binary","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.214,-0.003,-0.217,-0.003,0.005
100,5,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.167,0.043,-0.124,0.043,0.023
200,5,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.144,0.014,-0.131,0.014,-0.003
100,20,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.024,-0.007,-0.031,-0.007,-0.009
200,20,"continuous","binary",1,1,0,1,1.5,1,0,1,FALSE,-0.054,-0.001,-0.056,-0.001,-0.003
100,5,"binary","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.468,-0.001,-0.469,-0.001,-0.001
200,5,"binary","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.543,0.001,-0.542,0.001,0.001
100,20,"binary","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.173,-0.007,-0.18,-0.007,-0.007
200,20,"binary","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.202,-0.001,-0.202,-0.001,-0.001
100,5,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.177,0.004,-0.173,0.004,0.004
200,5,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.167,0.004,-0.164,0.004,0.004
100,20,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.043,0.003,-0.04,0.003,0.003
200,20,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.047,-0.003,-0.05,-0.003,-0.003
100,5,"binary","binary",1,3,0,1,1.5,1,0,1,FALSE,-0.131,0.004,-0.128,0.004,0.089
200,5,"binary","binary",1,3,0,1,1.5,1,0,1,FALSE,-0.177,-0.006,-0.183,-0.006,0.076
100,20,"binary","binary",1,3,0,1,1.5,1,0,1,FALSE,-0.058,-0.009,-0.067,-0.009,0.02
200,20,"binary","binary",1,3,0,1,1.5,1,0,1,FALSE,-0.079,0.011,-0.067,0.011,0.04
100,5,"continuous","binary",1,3,0,1,1.5,1,0,1,FALSE,0.062,0.033,0.094,0.033,-0.196
200,5,"continuous","binary",1,3,0,1,1.5,1,0,1,FALSE,0.012,0.061,0.073,0.061,-0.205
100,20,"continuous","binary",1,3,0,1,1.5,1,0,1,FALSE,0.007,0.022,0.029,0.022,-0.026
200,20,"continuous","binary",1,3,0,1,1.5,1,0,1,FALSE,-0.001,0.025,0.024,0.025,-0.028
100,5,"binary","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.153,0.034,-0.118,0.034,0.034
200,5,"binary","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.096,-0.019,-0.115,-0.019,-0.019
100,20,"binary","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.019,-0.001,-0.019,-0.001,-0.001
200,20,"binary","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.003,0.002,-0.001,0.002,0.002
100,5,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.019,0,-0.019,0,0
200,5,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.02,0.001,-0.019,0.001,0.001
100,20,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.01,0.001,-0.009,0.001,0.001
200,20,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,0.002,-0.002,-0.001,-0.002,-0.002
